Start,Ende,id,subtopic of,Thema,KÃ¼rzel,row
01.01.1000,31.12.1003,intro,,Introduction,,0
01.01.1004,31.12.1013,impl,,Implementation,,0
01.01.1004,31.12.1005,countries,impl,Historic Countries,,0
01.01.1006,31.12.1007,timeline,impl,Timeline,,0
01.01.1008,31.12.1009,hivents,impl,Hivents,,0
01.01.1010,31.12.1011,searchbar,impl,Search Bar,,0
01.01.1012,31.12.1013,hiventlist,impl,Hivent List,,0
01.01.1014,31.12.1015,product,,Product,,0
01.01.1016,31.12.1021,study,,Field Study,,0
01.01.1016,31.12.1018,teacher,study,Teacher,,0
01.01.1019,31.12.1021,students,study,Students,,0
01.01.1022,31.12.1026,conclusion,,Conclusion,,0
01.01.1022,31.12.1024,result,conclusion,Main Results,,0
01.01.1025,31.12.1026,future,conclusion,Future Work,,0
