country,country_id,theme_class,start_date,end_date
Albania,1944-1990-ALB,WP,1955,1968
Soviet Union,1945-1991-CCCP,WP,1955,1991
Bulgaria,1947-1990-BGR,WP,1955,1990
Bulgaria,1990-9999-BGR,WP,1990,1991
GDR,1949-1990-DDR,WP,1955,1990
Poland,1945-1989-POL,WP,1955,1989
Poland,1989-9999-POL,WP,1989,1991
Romania,1947-1990-ROU,WP,1955,1990
Romania,1990-9999-ROU,WP,1990,1991
Czechoslovakia,1938-1993-CSSR,WP,1955,1991
Hungary,1949-1989-HUN,WP,1955,1989
Hungary,1989-2012-HUN,WP,1989,1991
Belgium,1919-9999-BEL,NATO,1949,9999
Denmark,1948-1979-DNK,NATO,1949,1979
Denmark,1979-9999-DNK,NATO,1979,9999
France,1946-1958-FRA,NATO,1949,1958
France,1958-9999-FRA,NATO,1958,1966
France,1958-9999-FRA,NATO_no_military,1966,2009
France,1958-9999-FRA,NATO,2009,9999
Iceland,1947-1954-ITA,NATO,1949,9999
Italy,1947-1954-ITA,NATO,1949,1954
Italy,1954-9999-ITA,NATO,1954,9999
Canada,,NATO,1949,9999
Luxembourg,1839-9999-LUX,NATO,1949,9999
Netherlands,1867-9999-NLD,NATO,1949,9999
Norway,1925-9999-NOR,NATO,1949,9999
Portugal,1933-1974-PRT,NATO,1949,1974
Portugal,1974-9999-PRT,NATO,1974,9999
USA,,NATO,1949,9999
United Kingdom,1922-1964-GBR,NATO,1949,1964
United Kingdom,1964-9999-GBR,NATO,1964,9999
Turkey,1945-9999-TUR,NATO,1952,9999
Greece,1945-9999-GRC,NATO,1952,1974
Greece,1945-9999-GRC,NATO_no_military,1974,1981
Greece,1945-9999-GRC,NATO,1981,9999
FRG,1949-1956-BRD,NATO,1955,1956
FRG,1956-1990-BRD,NATO,1956,1990
Spain,1975-9999-ESP,NATO,1982,1986
Spain,1975-9999-ESP,NATO_no_military,1986,1999
Spain,1975-9999-ESP,NATO,1999,9999
Germany,1990-9999-DEU,NATO,1990,9999